wet_food_order_number,pet_food_tier,pet_allergen_list,pet_fav_flavour_list,pet_health_issue_list,neutered,gender,pet_breed_size,signup_promo,ate_wet_food_pre_tails,dry_food_brand_pre_tails,pet_life_stage_at_order,total_order_kcal,total_web_sessions,total_web_sessions_since_last_order,total_minutes_on_website,pet_has_active_subscription
0,0,0,0,1,1,1,3,1,0,1,2,77423.807,120,29,13319,1
0,0,0,0,1,1,1,3,1,1,1,2,70247.902,9,4,462,1
1,1,0,0,1,0,2,2,1,1,1,1,120374.877,32,12,1856,1
0,1,0,0,1,0,2,2,1,1,1,1,239003.085,11,2,85,1
1,1,0,0,1,0,2,2,1,1,1,1,6015.216,1,0,19,1
0,1,0,0,1,0,2,2,1,1,1,1,18519.805,7,4,29,1
0,1,0,0,1,1,2,2,1,1,1,1,58040.875,61,15,4297,1
1,1,0,0,1,1,2,2,1,1,1,1,223260.1,68,14,4098,1
0,1,0,0,1,0,2,2,1,0,1,1,9313.161,3,1,18,0
0,1,0,0,0,1,2,3,0,0,1,1,44117.852,9,2,39,0
0,1,0,0,0,0,2,3,0,0,1,1,853957.317,107,12,672,1
0,1,0,0,0,1,2,3,0,0,1,1,19153.717,3,1,28,0
1,1,0,0,0,0,2,3,1,1,1,1,15162.596,7,5,363,0
0,1,0,0,0,0,2,3,1,1,1,1,39397.3065,30,7,5335,1
0,1,0,0,0,0,2,3,1,0,1,1,23721.884,13,4,80,1
0,1,0,0,0,0,2,3,1,1,1,1,32111.685,5,3,39,1
0,1,1,1,1,0,2,1,1,0,0,1,9034.18,1,0,19,0
0,1,1,1,1,1,2,1,1,0,0,1,10841.505,1,0,16,0
0,1,1,0,1,0,1,3,1,0,1,1,264568.065,20,4,107,1
0,1,1,0,1,0,1,3,1,0,1,1,39880.261,4,2,66,1
1,1,1,0,1,1,1,3,1,1,1,1,180091.48,199,50,12881,0
0,1,1,0,1,1,1,3,1,0,1,1,84662.96,7,2,70,1
0,1,1,0,1,1,1,3,1,0,1,1,9388.69,1,0,19,1
0,1,1,0,1,0,1,3,1,0,1,1,13936.975,2,0,24,0
0,1,1,0,1,0,1,3,1,0,1,1,25250.676,4,2,13,1
0,1,0,0,1,1,1,1,1,0,0,1,48897.82,6,2,60,1
0,1,0,0,1,0,1,1,1,0,0,1,219999.513,68,15,2692,0
1,1,0,0,1,1,1,1,1,0,0,1,112542.318,23,7,176,1
0,1,0,0,1,1,1,1,1,0,0,1,223485.046,51,15,242,1
1,1,0,0,1,0,1,1,1,0,0,1,56766.683,15,3,114,0
0,1,0,0,1,0,1,1,1,0,0,1,44483.305,2,1,27,0
0,1,1,1,1,0,1,3,1,0,1,1,43098.903,43,9,4879,0
0,1,1,1,1,0,1,3,1,0,1,1,65521.152,2,0,42,1
0,1,1,1,1,0,1,3,1,0,1,1,234472.8455,49,10,2590,1
0,0,1,1,1,1,1,1,1,1,1,1,157474.147,35,13,2582,1
0,0,1,1,1,1,1,1,1,0,1,1,35471.883,1,0,373,1
0,1,0,1,0,0,1,1,1,0,0,1,22671.858,35,16,2081,1
0,1,0,1,0,0,1,1,1,0,0,1,76038.923,2,0,22,1
0,1,0,1,0,0,1,1,1,0,0,1,32365.894,11,4,594,1
0,1,0,1,0,0,1,1,1,0,0,1,78041.3995,21,9,112,1
1,1,0,1,0,0,1,1,1,1,0,1,41544.097,3,1,35,1
0,1,0,0,0,1,1,1,1,0,1,1,36449.363,4,2,272,0
1,1,0,0,0,0,1,1,1,1,1,1,37994.53,61,19,3158,0
0,1,0,0,0,0,1,1,1,0,1,1,43689.4595,1,0,21,0
0,1,0,0,0,0,1,1,1,0,1,1,305736.0265,20,8,33,0
0,1,0,0,0,0,1,1,1,0,1,1,16544.949,1,0,13,1
0,1,0,0,0,0,1,1,1,1,1,1,8719.727,2,0,20,1
0,1,0,0,0,0,1,1,1,0,1,1,154655.989,7,2,90,0
0,1,0,0,0,0,1,1,1,0,1,1,22680.5965,7,4,308,0
0,1,0,0,0,1,1,1,1,1,1,1,7418.37,6,3,29,0
1,1,0,0,0,1,1,1,1,1,1,1,145989.155,73,20,5018,1
0,1,0,0,0,0,1,1,1,1,1,1,3099.815,1,0,14,0
1,1,0,0,0,0,1,1,1,1,1,1,22397.5595,1,0,15,1
0,0,1,0,1,0,2,1,1,0,1,2,21574.758,1,0,9,1
0,0,1,0,1,0,2,1,1,0,1,2,45637.53,7,5,3,1
0,0,1,0,1,0,2,1,1,1,1,2,68801.147,4,2,72,1
0,0,1,0,1,1,2,1,1,1,1,2,30386.925,7,5,252,1
0,0,1,0,1,0,2,1,1,0,1,2,23284.45,3,3,4,0
1,0,1,0,1,0,2,1,1,1,1,2,50707.192,17,8,98,1
1,0,1,0,1,1,2,1,1,0,1,2,134563.5595,19,7,99,0
0,1,0,1,0,0,1,2,1,1,1,1,31133.856,2,0,12,0
1,1,0,1,0,1,1,2,1,1,1,1,114953.94,80,14,804,1
0,1,0,1,0,0,1,2,1,0,1,1,10417.785,1,0,9,1
0,1,0,1,0,0,1,2,1,0,1,1,87066.294,262,42,44870,1
1,1,0,1,0,0,1,2,1,1,1,1,73366.917,2,0,24,1
0,1,0,1,0,1,1,2,1,0,1,1,93059.248,20,12,576,1
0,1,0,1,0,0,1,2,1,0,1,1,46763.865,103,28,1348,1
1,1,0,1,0,0,1,2,1,1,1,1,250444.7105,188,45,3837,1
0,1,0,1,0,1,1,2,1,0,1,1,44292.407,35,16,11246,1
0,1,0,1,0,1,1,2,1,0,1,1,158666.945,14,6,620,0
0,1,0,1,0,0,1,2,1,0,1,1,111327.827,4,2,1187,1
0,1,0,1,0,1,1,2,1,0,1,1,12334.843,0,0,0,1
0,1,0,1,0,1,1,2,1,0,1,1,129625.245,8,3,109,1
1,1,0,1,0,0,1,2,1,0,1,1,80722.38,15,4,69,0
0,1,0,1,0,1,1,2,1,0,1,1,57248.1475,5,2,66,1
0,1,0,0,0,1,1,1,1,0,1,1,329271.863,38,9,2370,1
1,1,0,0,0,0,1,1,1,1,1,1,27653.111,23,11,2478,0
0,1,0,0,0,0,1,3,1,0,1,1,54602.961,12,5,60,1
0,1,0,0,0,0,1,3,1,0,1,1,47365.365,7,5,527,0
1,1,0,0,0,0,1,3,1,0,1,1,221882.367,48,14,404,1
1,1,0,0,0,0,1,3,1,1,1,1,34583.925,2,0,26,0
1,0,1,1,1,1,1,1,0,1,1,1,53665.263,10,6,1667,1
0,0,1,1,1,0,1,1,0,1,1,1,93040.4445,85,21,8238,1
1,0,1,1,1,0,1,1,0,1,1,1,18817.295,5,3,907,0
0,0,1,1,1,1,1,1,0,1,1,1,3485.78,1,0,16,0
0,0,1,1,1,1,1,1,0,0,1,1,7981.555,1,0,4,0
1,0,1,1,1,0,1,1,0,1,1,1,17750.35,9,7,80,1
1,0,1,1,1,1,1,1,0,1,1,1,96308.158,27,17,1051,1
0,0,1,1,1,0,1,1,0,0,1,1,40343.945,3,1,18,0
1,0,1,1,1,1,1,1,0,1,1,1,32749.117,2,1,544,1
0,0,1,1,1,1,1,1,0,0,1,1,357583.72,24,2,174,1
0,0,1,1,1,1,1,1,0,0,1,1,34105.198,25,8,465,1
1,0,1,0,1,1,2,3,1,1,1,1,124503.706,148,34,5698,1
0,0,1,0,1,0,2,3,1,1,1,1,10930.638,2,0,14,0
0,0,1,1,1,1,1,2,0,0,1,1,170604.151,11,1,120,1
0,0,1,1,1,0,1,2,0,1,1,1,112428.504,35,8,1426,1
1,0,1,1,1,0,1,2,0,1,1,1,111766.475,16,4,120,1
0,0,1,1,1,0,1,2,0,0,1,1,11462.666,1,0,436,1
0,0,1,1,1,1,1,2,0,0,1,1,4749.958,1,0,5,1
1,0,1,1,1,1,1,2,0,0,1,1,93686.0785,48,13,1146,1
1,0,1,1,1,1,1,2,0,0,1,1,66129.81,9,5,2094,0
0,0,1,1,1,1,1,2,0,0,1,1,24521.379,7,2,49,1
1,1,0,1,1,1,2,1,1,1,1,1,115935.031,3,0,555,0
1,1,0,1,1,1,2,1,1,0,1,1,122038.771,17,7,739,1
1,1,0,1,1,1,2,1,1,1,1,1,73094.94,9,2,128,1
0,1,0,1,1,1,2,1,1,0,1,1,34148.965,11,8,355,1
0,1,0,1,1,1,2,1,1,0,1,1,28516.12,1,0,9,1
1,1,0,1,1,0,2,1,1,1,1,1,7669.535,1,0,751,0
0,1,0,1,1,1,2,1,1,0,1,1,61284.1055,6,2,146,0
0,1,0,1,1,0,2,1,1,0,1,1,228533.474,13,2,157,0
0,1,0,1,1,0,2,1,1,0,1,1,61983.709,11,9,39,0
0,1,0,0,0,0,1,3,1,0,1,1,67994.2355,5,1,921,1
0,1,0,0,0,0,1,3,1,0,1,1,37989.6,34,11,499,0
0,1,0,0,0,0,1,3,1,0,1,1,29218.2,30,15,715,1
1,1,0,0,0,1,1,3,1,1,1,1,67472.149,10,5,185,1
0,1,0,0,0,0,1,3,1,0,1,1,118850.928,48,16,980,1
0,1,0,0,0,0,1,3,1,0,1,1,51043.902,11,8,33,1
0,1,0,0,0,0,1,3,1,1,1,1,3106.941,1,0,492,0
0,1,0,0,0,0,1,3,1,0,1,1,331845.839,18,3,1482,1
1,1,0,1,0,1,2,2,1,1,1,1,60033.095,15,9,676,0
0,0,0,0,0,1,2,2,1,1,1,1,33059.316,3,1,30,0
0,0,0,0,0,0,2,2,1,1,1,1,3843.745,5,4,836,1
0,0,0,0,0,0,2,2,1,0,1,1,37636.983,11,8,133,0
0,0,0,0,0,1,2,2,1,0,1,1,256838.11,72,21,2260,1
1,0,0,0,0,0,2,2,1,1,1,1,98029.812,13,3,625,0
0,1,0,0,1,1,2,2,0,0,1,2,37091.804,7,2,425,0
0,1,0,0,1,0,2,2,0,0,1,2,27430.175,8,6,440,1
1,1,0,0,1,1,2,2,0,1,1,2,124771.404,20,6,853,1
1,1,0,0,1,1,2,2,0,1,1,2,31425.492,9,6,61,1
0,1,0,0,1,0,2,2,0,0,1,2,12767.5845,0,0,0,1
1,1,1,0,1,1,2,2,1,1,1,1,21905.746,2,0,62,0
0,1,1,0,1,0,2,2,1,1,1,1,27595.219,6,4,81,1
1,1,1,0,1,1,2,2,1,1,1,1,83237.066,117,19,637,1
0,1,1,0,1,0,2,2,1,0,1,1,160173.065,33,7,196,1
1,1,1,0,1,1,2,2,1,1,1,1,33616.951,8,6,192,0
0,1,1,0,1,1,2,2,1,0,1,1,68258.255,3,0,36,0
0,1,1,0,1,1,2,2,1,0,1,1,15417.698,1,0,12,1
0,1,1,0,1,0,2,2,1,1,1,1,120765.8845,9,1,89,0
0,1,1,0,1,1,2,2,1,0,1,1,153874.219,6,1,34,0
0,1,1,0,1,0,2,2,1,0,1,1,8987.526,4,2,343,1
1,1,1,0,1,0,2,2,1,0,1,1,19469.488,12,7,1058,0
1,0,1,1,0,1,1,1,1,1,1,1,38407.707,14,10,99,1
0,0,1,1,0,1,1,1,1,0,1,1,80117.8,7,2,309,0
0,0,1,1,0,1,1,1,1,0,1,1,33170.79,2,0,26,1
1,0,1,1,0,0,1,1,1,1,1,1,64473.7895,18,13,263,1
0,0,1,1,0,1,1,1,1,1,1,1,91030.855,9,1,246,1
1,0,1,1,0,0,1,1,1,1,1,1,24107.57,5,2,478,0
0,0,1,1,0,1,1,1,1,0,1,1,13855.805,1,0,18,1
1,0,1,1,0,1,1,1,1,1,1,1,27244.24,12,10,720,1
0,0,1,1,0,0,1,1,1,1,1,1,77743.249,4,0,48,0
1,0,1,1,0,1,1,1,1,1,1,1,222099.0465,129,53,7027,1
0,0,1,1,0,0,1,1,1,1,1,1,7613.826,2,0,2060,0
0,0,1,1,0,1,1,1,1,0,1,1,67095.867,9,3,45,1
0,1,0,0,1,1,2,2,1,0,1,1,10154.88,1,0,16,0
1,1,0,0,1,1,2,2,1,1,1,1,128649.11,18,4,101,1
0,1,0,0,1,0,2,2,1,0,1,1,130750.121,72,28,3345,0
1,1,0,0,1,1,2,2,1,0,1,1,94529.175,110,18,5998,1
0,1,0,0,1,1,2,2,1,0,1,1,33939.307,25,18,4382,0
0,1,0,0,1,0,2,2,1,0,1,1,83125.423,52,16,846,0
1,1,0,0,1,0,2,2,1,1,1,1,44906.719,160,37,9398,1
0,1,0,0,1,1,2,2,1,0,1,1,119132.7965,61,17,8781,1
0,1,0,0,1,0,2,2,1,0,1,1,27423.796,1,0,13,1
0,1,1,1,1,1,1,1,1,0,1,2,19327.0935,1,1,126,1
0,1,1,1,1,0,1,1,1,0,1,2,206699.2815,29,10,316,1
1,1,1,1,1,1,1,1,1,1,1,2,33613.661,17,7,50,1
1,1,1,1,1,1,1,1,1,1,1,2,24013.284,45,12,1251,1
0,1,1,1,1,1,1,1,1,0,1,2,19978.548,1,0,12,0
0,1,1,1,1,0,1,1,1,0,1,2,79500.135,8,2,37,1
1,1,1,1,1,1,1,1,1,0,1,2,29764.005,35,11,3253,0
1,1,1,1,1,0,1,1,1,1,1,2,7444.205,1,0,2,1
1,1,1,1,1,0,1,1,1,0,1,2,22050.29,2,0,14,1
0,0,0,0,1,1,2,2,1,1,1,1,281230.77,22,5,234,1
0,0,0,0,1,1,2,2,1,0,1,1,347159.625,189,32,1807,1
0,1,0,0,0,1,2,1,0,0,0,1,24530.946,1,0,80,0
0,1,0,0,0,1,2,1,0,0,0,1,34015.502,11,4,29,0
0,1,0,0,0,1,2,1,0,0,0,1,140676.017,18,7,473,0
0,1,0,0,0,0,2,1,0,1,0,1,11235.538,30,8,246,1
0,1,0,0,0,1,2,1,0,1,0,1,8816.486,5,2,57,0
0,1,0,0,0,1,2,1,0,0,0,1,7211.84,1,0,39,1
1,1,0,1,0,0,1,3,1,0,0,1,61417.715,26,5,198,1
0,0,1,0,1,0,1,1,0,0,1,1,99018.939,21,3,64,1
0,0,1,0,1,1,1,1,0,0,1,1,76907.688,5,1,23,1
1,0,1,0,1,1,1,1,0,0,1,1,196174.379,70,19,3864,1
0,1,0,1,0,0,2,3,1,1,1,1,85369.096,42,9,1601,1
1,1,0,1,0,0,2,3,1,1,1,1,26481.6375,11,6,52,1
1,1,0,1,0,0,2,3,1,1,1,1,70054.8055,22,5,89,1
0,0,0,1,0,1,2,1,1,0,1,1,24234.857,5,2,318,1
1,0,0,1,0,0,2,1,1,1,1,1,206308.273,65,17,879,0
1,0,0,1,0,0,2,1,1,1,1,1,372390.3795,65,19,3361,0
0,0,0,1,0,1,2,1,1,0,1,1,138280.684,21,6,115,1
1,0,0,1,0,1,2,1,1,1,1,1,46856.86,20,8,1630,1
0,0,0,1,0,1,2,1,1,1,1,1,40966.97,9,3,133,1
0,0,0,1,0,1,2,1,1,0,1,1,62165.7,4,0,80,1
0,0,0,1,0,1,2,1,1,1,1,1,324260.65,102,11,5858,0
1,0,0,1,0,1,2,1,1,1,1,1,252880.5075,40,12,2028,1
0,1,0,1,0,0,1,2,1,0,1,1,7922.508,0,0,0,0
1,1,0,1,0,0,1,2,1,1,1,1,49450.887,26,9,1896,1
0,1,0,1,0,0,1,2,1,0,1,1,11023.675,1,1,657,1
0,1,0,1,0,1,1,2,1,0,1,1,68731.284,2,0,26,1
0,1,0,1,0,0,1,2,1,1,1,1,5305.935,10,4,338,0
1,1,0,1,0,1,1,2,1,0,1,1,117173.671,53,15,4343,1
0,1,0,0,1,0,2,1,1,0,0,1,10234.8,1,0,21,0
0,1,0,0,1,0,2,1,1,0,0,1,18638.8005,1,0,9,0
0,1,0,0,1,1,2,3,0,0,1,1,144818.352,29,13,1497,0
1,1,0,0,1,0,2,3,0,1,1,1,57502.945,30,9,402,1
1,1,0,0,0,1,2,3,1,1,1,1,47531.783,11,4,435,1
0,1,0,0,0,0,2,3,1,0,1,1,48240.769,5,3,78,0
0,1,0,1,0,0,1,1,0,1,1,1,47009.843,3,0,57,0
0,1,0,1,0,0,1,1,0,1,1,1,13100.37,1,0,8,0
1,1,0,1,0,1,1,1,0,0,1,1,26138.179,7,3,48,1
0,1,0,1,0,1,1,1,0,1,1,1,26006.066,2,0,22,1
0,1,0,1,0,1,1,1,0,0,1,1,5033.03,1,0,10,0
1,1,0,1,0,1,1,1,0,1,1,1,81228.5,43,11,3066,1
1,1,0,1,0,0,1,1,0,1,1,1,70595.37,6,3,57,0
0,1,0,1,0,1,1,1,0,1,1,1,9808.62,6,2,280,1
0,1,0,1,0,1,1,1,0,1,1,1,22096.251,4,2,29,0
1,1,0,1,0,0,1,1,0,1,1,1,4290.906,2,1,6,0
0,1,0,1,0,0,1,1,0,0,1,1,93781.073,5,2,143,1
1,1,0,0,0,1,2,3,0,1,1,1,29828.876,13,6,65,1
0,1,0,0,0,1,2,3,0,0,1,1,29074.0,6,1,867,1
1,1,0,0,0,0,2,3,0,1,1,1,27252.601,3,1,116,1
1,1,0,0,0,1,2,3,0,1,1,1,131568.113,81,13,9552,1
0,1,0,0,0,0,2,3,0,0,1,1,36800.813,108,29,8845,0
0,1,0,0,0,0,2,3,0,0,1,1,83549.359,54,16,2597,1
1,1,0,0,0,1,2,3,0,1,1,1,9048.03,1,0,13,0
1,1,0,0,0,1,2,3,0,1,1,1,82415.217,70,23,2100,1
0,1,0,0,0,0,2,3,0,1,1,1,2573.061,1,0,75,0
0,1,0,0,0,0,2,3,0,0,1,1,36054.007,36,15,1140,1
0,1,0,0,0,0,2,3,0,0,1,1,84615.2635,48,19,2421,1
0,1,0,0,0,0,2,3,0,1,1,1,171451.267,39,11,87,0
1,1,0,0,0,1,2,3,0,1,1,1,13239.537,8,6,1239,0
1,1,0,1,1,1,2,1,1,1,1,1,373041.731,74,21,5554,0
0,1,0,1,1,1,2,1,1,0,1,1,38822.303,4,2,1063,1
0,1,0,1,1,0,2,1,1,0,1,1,7641.045,1,0,8,1
0,1,0,1,1,0,2,1,1,1,1,1,32195.7385,56,12,3291,1
0,1,0,0,0,1,2,1,1,0,0,1,101615.98,8,2,435,1
1,1,0,0,0,1,2,1,1,1,0,1,104638.5495,15,8,356,0
0,1,0,0,1,0,2,1,1,0,1,2,31397.0,2,0,80,1
0,1,0,0,1,1,2,1,1,1,1,2,47573.984,3,1,25,0
0,1,0,0,1,0,2,1,1,0,1,2,7554.4425,2,1,10,0
0,1,0,0,1,0,2,1,1,0,1,2,83291.258,66,15,11890,0
1,1,0,0,1,0,2,1,1,0,1,2,194907.882,148,11,2054,1
0,1,0,1,0,1,2,2,1,1,1,1,55233.941,9,7,61,0
0,1,0,0,0,1,1,1,1,0,1,1,5060.751,1,0,29,1
1,1,0,0,0,0,1,1,1,0,1,1,32639.8335,1,0,6,0
1,1,0,0,1,1,1,1,0,1,1,2,58229.421,56,15,744,1
0,1,0,0,1,1,1,1,0,0,1,2,62927.618,23,3,123,1
1,1,0,0,1,0,1,1,0,1,1,2,21821.46,11,7,1779,0
0,1,1,0,0,0,1,3,1,0,1,1,43840.239,77,24,6131,1
1,1,1,0,0,1,1,3,1,1,1,1,51908.576,72,16,497,1
1,1,1,0,0,0,1,3,1,1,1,1,42489.138,54,17,4089,1
1,1,1,0,0,1,1,3,1,1,1,1,43912.78,5,1,114,1
0,1,1,0,0,1,1,3,1,0,1,1,53511.135,3,1,18,1
1,1,1,0,0,1,1,3,1,1,1,1,49786.282,8,3,131,1
1,1,1,0,0,1,1,3,1,1,1,1,29355.175,11,3,92,1
0,1,1,0,0,0,1,3,1,0,1,1,29128.961,5,1,15,0
1,1,1,0,0,0,1,3,1,1,1,1,21544.216,9,7,467,0
0,1,1,0,0,0,1,3,1,1,1,1,11210.562,2,0,16,0
0,1,1,1,1,0,2,2,1,0,1,1,287154.3135,43,11,14430,1
0,1,1,1,1,1,2,2,1,0,1,1,49991.311,5,3,54,1
1,1,1,1,1,1,2,2,1,1,1,1,22527.376,2,0,18,0
1,1,1,1,1,0,2,2,1,1,1,1,61352.62,12,2,94,1
0,1,1,1,1,1,2,2,1,0,1,1,143428.143,14,3,433,1
0,1,1,1,1,1,2,2,1,0,1,1,153423.655,19,4,167,1
0,1,0,1,0,0,1,1,1,0,1,1,92174.101,5,0,35,1
0,1,0,1,0,0,1,1,1,1,1,1,55839.527,16,5,469,0
1,1,1,1,1,1,2,3,1,1,1,1,22275.437,3,1,26,1
1,1,1,1,1,1,2,3,1,1,1,1,7809.487,1,0,11,0
1,1,1,1,1,1,2,3,1,1,1,1,14169.954,1,0,41,1
0,1,1,1,1,0,2,3,1,1,1,1,4830.209,1,0,541,1
0,1,1,1,1,0,2,3,1,1,1,1,11162.02,2,1,184,0
0,1,1,1,1,0,2,3,1,0,1,1,69109.935,2,0,70,0
0,1,1,1,1,1,2,3,1,0,1,1,51435.291,3,1,32,0
1,1,1,1,1,1,2,3,1,1,1,1,178990.5665,79,19,1527,0
1,1,1,1,1,1,2,3,1,1,1,1,123923.645,42,20,334,1
0,0,0,1,1,0,1,1,0,0,1,1,121721.992,24,8,379,0
0,0,0,1,1,1,1,1,0,0,1,1,21220.558,11,6,1463,1
1,1,0,1,0,0,1,2,1,1,1,1,19127.848,10,7,49,1
1,1,0,1,0,0,1,2,1,1,1,1,17669.675,2,0,16,1
1,1,0,1,0,1,1,2,1,0,1,1,42872.505,13,11,146,1
0,1,0,1,0,0,1,2,1,0,1,1,93903.083,8,5,630,1
0,1,0,1,0,1,1,2,1,0,1,1,9182.481,1,0,9,0
1,1,0,1,0,0,1,2,1,1,1,1,25337.564,15,9,1391,0
0,1,0,1,0,1,1,2,1,0,1,1,45062.1915,8,4,334,1
0,1,0,1,0,1,1,2,1,0,1,1,20509.238,1,0,8,0
1,1,0,1,0,1,1,2,1,1,1,1,60864.78,37,8,2487,1
1,1,0,1,0,0,1,2,1,0,1,1,96255.24,22,8,158,0
0,1,0,1,0,1,1,2,1,1,1,1,157583.382,98,22,2766,1
0,1,0,1,0,0,1,2,1,0,1,1,30173.085,6,3,117,1
0,0,0,0,1,1,1,3,1,0,1,1,108953.14,69,22,1324,1
1,0,0,0,1,1,1,3,1,1,1,1,26366.973,1,0,12,0
0,0,0,0,1,1,1,3,1,1,1,1,25625.708,96,37,4735,1
0,1,0,0,1,0,2,1,1,0,1,1,29910.21,1,1,14,0
0,1,0,0,1,0,2,1,1,1,1,1,13537.9515,9,2,60,1
1,1,0,0,1,1,2,1,1,0,1,1,18426.607,2,0,14,0
0,1,0,0,1,1,2,1,1,0,1,1,97679.525,16,9,151,1
0,1,0,1,0,0,2,1,1,0,0,1,95594.169,99,17,4893,1
1,1,0,1,0,1,2,1,1,1,0,1,6673.083,1,0,28,0
0,1,0,1,0,0,2,1,1,0,0,1,157882.2255,23,10,487,0
1,1,0,1,0,0,2,1,1,1,0,1,279470.951,108,24,2967,0
1,1,0,1,0,0,2,1,1,0,0,1,35139.03,15,6,300,1
1,1,0,0,0,1,2,3,1,1,1,1,96755.885,23,6,86,1
1,1,0,0,0,1,2,3,1,1,1,1,8151.106,2,1,52,1
1,1,0,0,0,1,2,3,1,1,1,1,74297.977,6,2,133,1
1,1,0,0,0,1,2,3,1,1,1,1,84263.417,13,3,87,0
0,1,0,0,0,0,2,3,1,1,1,1,6431.8485,1,0,7,0
1,1,0,0,0,1,2,3,1,0,1,1,34111.8635,4,2,47,1
1,0,0,1,1,1,1,2,0,1,1,1,142015.016,19,5,584,0
1,0,0,1,1,0,1,2,0,1,1,1,17665.537,4,2,41,1
0,0,0,1,1,1,1,2,0,0,1,1,331682.206,49,7,182,1
0,1,0,0,0,0,2,1,1,0,1,1,59385.2725,1,0,404,1
1,1,0,0,0,1,2,1,1,1,1,1,119277.1445,30,9,67,1
0,1,0,0,0,0,2,1,1,1,1,1,9643.329,4,2,128,1
1,1,0,0,0,1,2,1,1,0,1,1,76987.745,87,26,8048,0
1,1,0,0,0,0,2,1,1,1,1,1,13161.8045,1,0,7,1
0,1,0,0,0,0,2,1,1,0,1,1,57697.931,2,0,78,0
0,1,0,1,1,0,1,1,0,1,0,2,4327.012,1,0,12,1
1,1,0,1,1,0,1,1,0,1,0,2,6821.676,8,6,263,0
0,1,0,1,1,0,1,1,0,0,0,2,75845.87,9,3,84,1
1,0,0,1,1,1,1,1,1,1,1,1,11330.058,16,12,712,0
0,0,0,1,1,0,1,1,1,0,1,1,12479.1265,3,1,22,1
0,0,0,1,1,1,1,1,1,0,1,1,416723.483,47,11,1154,1
0,0,0,1,1,0,1,1,1,0,1,1,10444.503,2,0,42,1
0,1,1,1,0,1,1,2,1,0,1,1,21299.622,4,2,32,1
1,1,1,1,0,1,1,2,1,1,1,1,26700.57,28,18,1911,1
0,1,1,1,0,1,1,2,1,0,1,1,26205.35,2,0,52,1
