ship_type,ship_id_numeric,month_numeric,route_id,distance,fuel_type,fuel_consumption,CO2_emissions,weather_conditions,engine_efficiency,fuel_per_distance,co2_per_fuel,total_energy_output,ship_profile_cluster
0,1,12,2,173.83,0,5049.27,14184.19,0,76.39,28.881027283646972,2.8086003322594633,19233.46,2
1,2,1,0,112.97,1,3256.57,8593.47,2,70.62,28.573922962183033,2.638000104372277,11850.039999999999,0
1,2,2,1,45.14,1,1485.59,4280.62,1,71.66,32.19744256610316,2.879489301017766,5766.21,0
1,2,3,2,29.38,0,855.01,2195.9,0,81.53,28.143844634628046,2.5652737701662365,3050.91,0
1,2,4,2,42.24,0,1376.47,3818.13,1,94.55,31.833256244218315,2.771842580963651,5194.6,0
1,2,5,3,135.8,0,4750.93,13723.76,1,75.27,34.72902046783626,2.8880391756612576,18474.690000000002,2
1,2,6,1,71.68,0,1823.65,5462.13,2,87.39,25.09149697303247,2.9935220453237608,7285.780000000001,0
1,2,7,0,149.48,1,4211.85,12512.93,0,79.75,27.989433811802236,2.970181705971017,16724.78,2
1,2,8,3,95.13,0,3105.75,9081.23,2,85.76,32.307812337459694,2.923064295485636,12186.98,0
1,2,9,3,128.87,0,3322.01,8854.93,1,93.64,25.57950257950258,2.6647316739943605,12176.94,2
1,2,10,0,33.63,0,1146.14,2913.96,2,83.25,33.09673693329483,2.5401956169255713,4060.1000000000004,0
1,2,11,2,110.44,1,2852.88,7506.96,2,71.78,25.60014357501795,2.630439962437103,10359.84,0
1,2,12,0,59.01,0,1685.14,4526.48,1,75.24,28.080986502249626,2.684522044432846,6211.62,0
2,3,1,0,86.9,0,1698.32,4498.8,0,70.52,19.321046643913537,2.647411905938846,6197.12,0
2,3,2,1,58.95,0,734.45,1960.81,2,75.07,12.251042535446205,2.666136379087633,2695.26,0
2,3,3,2,64.67,0,1271.96,3285.93,0,90.92,19.368966042332875,2.581330128205128,4557.889999999999,0
2,3,4,1,39.85,0,670.74,1720.02,2,73.87,16.419583843329253,2.5605442581951348,2390.76,0
2,3,5,0,192.04,0,3037.36,7648.96,0,72.3,15.734355573974307,2.5174633683961085,10686.32,2
2,3,6,3,111.84,0,1440.61,4170.02,2,75.06,12.766838000708967,2.8926131200532743,5610.63,0
2,3,7,1,165.4,0,2811.38,8143.0,0,79.71,16.8953125,2.8954124264857524,10954.380000000001,2
2,3,8,2,162.48,0,2082.27,5954.64,0,70.62,12.737154391974554,2.8583140927484196,8036.91,2
2,3,9,2,183.71,0,2460.76,6454.7,0,78.82,13.32228899355747,2.6219858962693356,8915.46,2
2,3,10,1,80.93,0,977.22,2612.85,1,89.57,11.927499084584401,2.6710249228189977,3590.0699999999997,0
2,3,11,3,170.44,0,1995.64,5617.77,0,89.0,11.640457302846478,2.8136118679381363,7613.410000000001,2
2,3,12,0,181.02,0,1983.66,5019.8,1,84.91,10.898033183166685,2.5292997289208228,7003.46,2
3,4,1,0,336.53,0,15596.39,42180.94,0,72.59,46.207418599828166,2.704358870298172,57777.33,1
3,4,2,0,494.24,1,18375.75,46753.73,2,94.18,37.10473709716501,2.5441783775694833,65129.48,1
3,4,3,3,159.49,1,5906.8,17358.94,0,74.34,36.8047853448813,2.938308676664748,23265.739999999998,2
3,4,4,2,363.22,0,17778.61,53142.22,0,75.92,48.812832903190376,2.988941827182936,70920.83,1
3,4,5,3,77.01,1,2362.84,6230.95,1,71.15,30.288937315728752,2.6359440571273858,8593.79,0
3,4,6,0,436.73,0,20235.74,56400.31,1,88.75,46.228816850569984,2.787025479400338,76636.05,1
3,4,7,3,405.98,1,12469.38,35971.47,1,89.93,30.63880288957688,2.8845528364011366,48440.85,1
3,4,8,2,77.51,1,2841.99,7692.62,1,71.44,36.199082919373325,2.7058202807607485,10534.61,0
3,4,9,2,134.88,1,5792.23,15446.17,0,87.7,42.627539005004415,2.6662449100070256,21238.4,2
3,4,10,3,199.13,0,7219.15,18859.62,0,92.1,36.07230300304802,2.612081466451528,26078.769999999997,2
3,4,11,0,441.93,0,17429.33,51377.83,0,79.16,39.35007789041158,2.9476108599206094,68807.16,1
3,4,12,1,172.3,0,8249.38,24081.26,0,76.53,47.60173110213502,2.918806164079715,32330.64,2
2,5,1,1,147.9,0,2656.39,7258.52,2,87.24,17.840094022834116,2.7314470213254363,9914.91,2
2,5,2,0,44.52,0,663.13,1891.44,2,94.2,14.56788224956063,2.847996627166368,2554.57,0
2,5,3,1,113.0,0,1635.86,4560.25,1,76.44,14.349649122807017,2.78597436555356,6196.11,0
2,5,4,1,87.17,0,1604.67,4669.62,2,92.06,18.199727798570944,2.90820654306302,6274.29,0
2,5,5,0,197.78,0,3001.65,7873.3,2,73.67,15.100362209477815,2.622117129868616,10874.95,2
2,5,6,3,62.36,0,1164.2,2944.68,0,93.83,18.37436868686869,2.527188465499485,4108.88,0
2,5,7,3,158.07,0,2584.62,7211.22,2,81.67,16.24831835041177,2.7889713105560756,9795.84,2
2,5,8,3,117.52,0,1895.33,5369.6,1,89.42,15.991646979412756,2.83157467318452,7264.93,0
2,5,9,1,155.32,0,2351.29,6941.15,2,87.02,15.04151740020471,2.9508053853904066,9292.439999999999,2
2,5,10,0,145.53,0,2773.1,8311.52,1,79.32,18.925134784685728,2.996114055008832,11084.62,2
2,5,11,2,34.55,0,635.93,1664.64,0,85.62,17.888326300984527,2.613536809382507,2300.57,0
2,5,12,1,129.52,0,1437.19,4194.45,0,88.26,11.011262641740728,2.9164783512609596,5631.639999999999,2
2,6,1,3,66.87,0,700.97,1962.76,0,86.15,10.328127302195373,2.7960739062922917,2663.73,0
2,6,2,0,31.95,0,354.39,1027.23,1,88.57,10.755386949924127,2.890430231576578,1381.62,0
2,6,3,1,134.85,0,1486.38,4270.31,1,88.42,10.94133235185867,2.87102825101857,5756.6900000000005,2
2,6,4,0,111.86,0,1817.6,4665.14,2,94.84,16.104908736487683,2.5652369954910372,6482.74,0
2,6,5,2,77.89,0,916.5,2389.22,2,80.75,11.617442007859044,2.6040544959128065,3305.72,0
2,6,6,2,147.09,0,2905.05,8256.81,0,86.78,19.616787088932405,2.8412484299994833,11161.86,2
2,6,7,0,52.12,0,815.52,2070.1,2,80.59,15.352409638554217,2.535271640621173,2885.62,0
2,6,8,2,46.21,0,644.66,1764.81,0,74.71,13.65515780554967,2.733342626149986,2409.47,0
2,6,9,2,54.78,0,1025.44,2795.27,1,87.9,18.38365005378272,2.723266825143213,3820.71,0
2,6,10,0,56.75,0,746.58,2121.01,1,74.54,12.927792207792209,2.8371679285160116,2867.59,0
2,6,11,2,90.91,0,1628.86,4516.17,2,72.61,17.72233706887172,2.7708944326506573,6145.03,0
2,6,12,3,37.38,0,553.42,1518.98,1,79.05,14.419489317352786,2.7397640777749723,2072.4,0
3,7,1,1,312.45,0,14284.0,38368.72,0,79.01,45.57026639017387,2.685944697234862,52652.72,1
3,7,2,1,423.27,0,18214.68,52122.46,0,94.38,42.93181228934405,2.861406217061345,70337.14,1
3,7,3,0,337.15,0,14409.96,41238.1,1,93.83,42.614106165902705,2.8615789648989383,55648.06,1
3,7,4,1,261.92,0,11898.51,29771.29,1,70.95,45.255248744865355,2.501892094716505,41669.8,2
3,7,5,0,448.48,0,13719.78,40233.07,2,89.59,30.523671798522738,2.932272800817446,53952.85,1
3,7,6,1,77.81,0,3197.24,8310.12,0,79.56,40.5689633295267,2.598341587873331,11507.36,0
3,7,7,2,58.63,0,2824.38,7883.97,2,80.86,47.365084688914976,2.7904104934557474,10708.35,0
3,7,8,1,391.76,0,17982.2,47203.92,1,75.83,45.784193909766785,2.6248898972374213,65186.119999999995,1
3,7,9,3,169.25,0,6930.12,17600.82,2,89.83,40.70555066079295,2.539390459261995,24530.94,2
3,7,10,0,370.45,0,12931.31,33622.72,0,72.13,34.81305693902275,2.5999005591421795,46554.03,1
3,7,11,3,76.76,1,2479.81,6662.18,1,80.94,31.890560699588473,2.685485788915717,9141.99,0
3,7,12,1,497.16,0,24648.52,62802.03,0,72.14,49.479123173277664,2.5477993080595485,87450.55,1
0,8,1,0,147.06,1,3316.45,8935.16,2,78.5,22.399365122247737,2.693381965063528,12251.61,2
0,8,2,1,196.74,0,4024.81,10349.66,1,72.16,20.3540507737433,2.5708267404572,14374.47,2
0,8,3,2,120.31,0,2428.08,6772.76,1,92.48,20.01549748578023,2.788199647603208,9200.84,0
0,8,4,2,60.39,0,1496.07,4418.47,0,85.31,24.369929956018893,2.951411757633244,5914.54,0
0,8,5,3,160.89,1,4216.46,11326.37,1,78.4,26.045215887330905,2.6855903790433104,15542.830000000002,2
0,8,6,1,58.09,1,1483.01,4235.63,0,74.19,25.097478422744963,2.8541788801962253,5718.64,0
0,8,7,0,155.88,0,4394.18,11695.71,1,84.86,28.009816420193783,2.6610309475379843,16089.89,2
0,8,8,2,195.5,1,5815.26,15340.23,2,89.13,29.594198473282443,2.6374732216235173,21155.489999999998,2
0,8,9,1,69.55,1,1745.22,4771.84,2,72.15,24.737349397590364,2.732668277765688,6517.06,0
0,8,10,2,128.88,0,3721.28,10572.4,0,80.41,28.651678472436096,2.8403021803840653,14293.68,2
0,8,11,3,149.46,0,3676.47,10273.74,1,82.77,24.43486640967699,2.793697841178854,13950.21,2
0,8,12,0,60.39,1,1780.88,4538.11,2,79.72,29.00928489982082,2.5468101106696297,6318.99,0
0,9,1,2,90.31,1,2085.04,5709.45,1,84.4,22.83473880188369,2.736980115434028,7794.49,0
0,9,2,3,116.16,0,3342.71,9197.1,1,74.28,28.531153977466712,2.750567483424101,12539.810000000001,0
0,9,3,3,181.07,1,5373.33,15851.55,2,83.54,29.51244027022574,2.949493239157253,21224.879999999997,2
0,9,4,1,72.16,0,1503.64,3763.5,0,91.0,20.55276107162384,2.501262760527435,5267.14,0
0,9,5,3,155.61,0,4035.01,10876.77,1,71.13,25.764702126301003,2.694931380249306,14911.78,2
0,9,6,2,195.89,1,4092.86,11820.35,0,72.2,20.787546345675253,2.8873361570742526,15913.210000000001,2
0,9,7,1,168.1,1,4787.33,13209.23,0,81.59,28.310644589000592,2.7586298354541143,17996.559999999998,2
0,9,8,3,55.75,1,1464.76,4235.17,0,89.36,25.810748898678415,2.8894020849252264,5699.93,0
0,9,9,0,108.17,0,2888.41,7983.75,1,73.43,26.457909682147108,2.763107347174683,10872.16,0
0,9,10,1,107.53,0,2186.22,6536.29,1,84.23,20.143923339168893,2.988400801016816,8722.51,0
0,9,11,3,81.16,1,1980.04,5046.94,2,85.69,24.099805258033108,2.547621451358882,7026.98,0
0,9,12,2,167.25,0,4376.41,12430.79,1,92.63,26.011352154531945,2.8397591269723423,16807.2,2
1,10,1,3,23.66,0,609.4,1555.32,1,86.98,24.712084347120843,2.5480340760157274,2164.72,0
1,10,2,0,34.39,0,944.69,2598.62,2,80.47,26.693698784967506,2.7478560627689834,3543.31,0
1,10,3,3,82.31,0,2060.96,6014.03,0,74.3,24.738446765094228,2.916656967157462,8074.99,0
1,10,4,2,57.76,1,1754.24,5109.37,2,92.78,29.854322668481963,2.91092386226385,6863.61,0
1,10,5,2,142.27,0,4337.09,11587.23,1,78.94,30.27214350526977,2.6710441692081077,15924.32,2
1,10,6,1,31.26,1,1060.94,2708.64,0,88.97,32.8871667699938,2.5506525792417647,3769.58,0
1,10,7,1,66.04,0,2238.1,5922.4,1,76.42,33.38454653937947,2.644991291143763,8160.5,0
1,10,8,3,53.74,1,1696.23,4353.09,0,70.4,30.987029594446472,2.5648203248823083,6049.32,0
1,10,9,3,73.53,0,2550.0,6745.12,2,80.77,34.21441030457534,2.6441081928655428,9295.119999999999,0
1,10,10,2,39.69,1,1148.01,3218.44,1,91.55,28.213565986728927,2.8010548211068658,4366.45,0
1,10,11,1,103.11,1,3480.94,9054.82,0,85.64,33.43521275573912,2.6005100604835234,12535.76,0
1,10,12,0,39.03,0,1252.65,3484.36,1,70.59,31.292780414688984,2.779372233079408,4737.01,0
3,11,1,1,337.43,0,10786.95,30075.54,0,71.85,31.873504121975003,2.7878827766165024,40862.490000000005,1
3,11,2,2,364.78,1,11631.0,30068.28,2,83.8,31.79780195746077,2.584962173314993,41699.28,1
3,11,3,3,490.16,0,24321.4,71871.21,0,93.41,49.518283247821486,2.9549390685129757,96192.61000000002,1
3,11,4,2,262.21,0,9880.04,27274.67,2,71.69,37.53671972949357,2.760303571283994,37154.71,2
3,11,5,1,339.19,1,13915.91,35657.08,2,82.05,40.906287662776684,2.562140590116628,49572.990000000005,1
3,11,6,2,326.44,1,15694.62,44439.3,0,80.76,47.93128512093819,2.831318546193142,60133.920000000006,1
3,11,7,1,246.4,0,11651.89,29877.46,1,92.15,47.097372675828616,2.5639528048406874,41529.35,2
3,11,8,0,136.52,0,5869.98,16904.2,2,70.18,42.68455497382198,2.8792808015016234,22774.18,2
3,11,9,0,414.23,0,15346.28,39498.78,0,76.3,36.958504924981334,2.5736664737986144,54845.06,1
3,11,10,1,356.17,1,16579.07,42773.35,1,80.23,46.417868242013604,2.579805151606718,59352.42,1
3,11,11,0,248.94,0,11621.25,31172.3,0,83.31,46.49615907817876,2.682122652670524,42793.55,2
3,11,12,1,345.77,1,16431.99,47054.45,0,89.28,47.38584652651614,2.8634137792331154,63486.44,1
2,12,1,3,168.03,0,2554.21,6460.12,2,90.96,15.11098621546471,2.52821490210198,9014.33,2
2,12,2,0,37.91,0,531.28,1498.87,2,93.45,13.654073502955539,2.815942736905388,2030.1499999999999,0
2,12,3,1,88.47,0,894.06,2315.14,0,73.06,9.992846764278529,2.5865752016624586,3209.2,0
2,12,4,2,102.3,0,1327.33,3418.28,1,93.8,12.849273959341723,2.573366558008929,4745.610000000001,0
2,12,5,1,177.6,0,2987.42,8689.15,2,86.97,16.72687569988802,2.907606695176715,11676.57,2
2,12,6,2,45.92,0,657.61,1742.76,1,85.99,14.015558397271953,2.646118340140599,2400.37,0
2,12,7,1,131.34,0,2094.87,5529.58,1,82.34,15.829454435544807,2.63832203333222,7624.45,2
2,12,8,2,46.49,0,833.03,2310.76,1,81.9,17.541166561381342,2.77059578192631,3143.79,0
2,12,9,2,136.27,0,1467.34,3947.94,2,81.11,10.689444161142273,2.688709699388425,5415.28,2
2,12,10,2,167.82,0,2207.3,5567.56,2,82.78,13.074872645421161,2.521197301091337,7774.860000000001,2
2,12,11,2,33.98,0,527.21,1472.81,0,93.83,15.071755288736423,2.78830389428447,2000.02,0
2,12,12,0,61.71,0,708.64,1972.82,0,89.22,11.300271089140487,2.780029310636379,2681.46,0
1,13,1,3,85.61,0,2894.95,7396.44,1,77.99,33.42512411961667,2.554063433415632,10291.39,0
1,13,2,3,44.59,0,1336.88,3435.55,2,77.98,29.323974555823646,2.5679059407420697,4772.43,0
1,13,3,1,53.32,0,1396.44,3554.43,0,86.97,25.707658321060382,2.5435295969773297,4950.87,0
1,13,4,1,82.9,1,2340.87,5943.84,1,93.5,27.900715137067934,2.5380742739776334,8284.71,0
1,13,5,2,132.17,1,3374.09,10111.98,0,89.39,25.33671247277916,2.9960623272268294,13486.07,2
1,13,6,2,37.34,1,1113.36,3092.61,2,94.22,29.039123630672922,2.7752342151548874,4205.97,0
1,13,7,3,56.09,0,1542.52,3879.94,1,91.91,27.019092660711156,2.5136959676583395,5422.46,0
1,13,8,1,76.32,1,1982.49,5008.68,1,81.5,25.640067252974653,2.5251854055225893,6991.17,0
1,13,9,3,77.13,1,2561.67,7594.88,0,82.28,32.78727761423269,2.963658996281222,10156.55,0
1,13,10,2,69.53,0,1768.84,4431.63,2,79.36,25.079257053735997,2.5039721104732635,6200.47,0
1,13,11,1,114.4,0,3790.28,10702.83,0,87.1,32.84471403812825,2.8230122808128124,14493.11,0
1,13,12,3,113.4,0,3527.25,10579.04,0,88.55,30.832604895104893,2.9983816339545104,14106.29,0
2,14,1,1,39.1,0,548.06,1536.98,0,73.53,13.667331670822941,2.7992933377044404,2085.04,0
2,14,2,2,188.79,0,2733.8,7133.15,1,71.59,14.404341640760842,2.608289454439081,9866.95,2
2,14,3,0,196.02,0,3806.45,10435.41,0,71.86,19.32011978479342,2.740787140999882,14241.86,2
2,14,4,2,64.54,0,680.75,1985.48,0,83.99,10.386786695148,2.9123285661899523,2666.23,0
2,14,5,1,71.33,0,1357.57,3937.98,1,72.48,18.76911378404535,2.8986213445019398,5295.55,0
2,14,6,1,102.7,0,1150.8,2900.92,1,80.83,11.097396335583413,2.5185969786421256,4051.7200000000003,0
2,14,7,2,191.96,0,3549.18,9897.46,2,80.93,18.393345771144276,2.787875544338597,13446.64,2
2,14,8,3,72.07,0,1033.06,2664.76,2,84.52,14.137949911044204,2.576987795679168,3697.82,0
2,14,9,0,198.44,0,2499.7,6960.11,2,93.36,12.533594063377457,2.7832646858879513,9459.81,2
2,14,10,2,177.53,0,2204.22,5596.13,1,78.77,12.346496387161821,2.5376742456534953,7800.35,2
2,14,11,2,29.59,0,564.97,1580.41,0,78.79,18.469107551487415,2.792391822888139,2145.38,0
2,14,12,0,115.37,0,1805.6,4575.75,1,84.44,15.516026467302568,2.532796413151777,6381.35,0
3,15,1,3,281.21,0,12626.91,37709.61,0,72.25,44.74295737216966,2.9862114950138228,50336.520000000004,2
3,15,2,2,462.22,0,19755.51,50871.25,2,76.47,42.64822330642027,2.574910750937286,70626.76,1
3,15,3,1,94.26,0,3204.13,8662.75,1,89.94,33.635628805374765,2.7027764864451673,11866.880000000001,0
3,15,4,3,473.09,1,20539.4,59961.61,1,90.78,43.3238414647008,2.9192036182352825,80501.01000000001,1
3,15,5,1,238.81,0,10796.2,30427.94,2,85.61,45.01980734748343,2.818132478790797,41224.14,2
3,15,6,1,97.09,0,3409.86,9199.7,2,93.55,34.762564991334486,2.697179010572114,12609.560000000001,0
3,15,7,3,233.11,0,10569.12,27167.55,2,73.78,45.14595702874717,2.5702215301245395,37736.67,2
3,15,8,1,453.47,1,20172.52,59126.35,1,72.15,44.386912227429754,2.9308891061153433,79298.87,1
3,15,9,1,364.42,1,13063.21,36589.4,2,90.92,35.74848119971539,2.8007357505735135,49652.61,1
3,15,10,3,429.43,0,17125.78,42988.56,1,75.28,39.78760774109611,2.5100199804049566,60114.34,1
3,15,11,3,391.77,0,17631.29,48288.47,1,74.77,44.8896046032029,2.7386385999776546,65919.76000000001,1
3,15,12,3,102.58,0,4047.78,10829.65,2,73.48,39.078779687198306,2.674793394553421,14877.43,0
3,16,1,1,380.49,1,16231.89,44957.55,2,76.51,42.54866444729875,2.769534568397864,61189.44,1
3,16,2,2,150.79,1,5155.01,14108.34,0,72.59,33.96145991172014,2.7362902709653394,19263.35,2
3,16,3,0,379.45,1,15476.2,41858.53,0,83.25,40.6786699960573,2.7045285969038324,57334.729999999996,1
3,16,4,2,237.22,0,7165.46,21254.59,2,79.48,30.079170514650322,2.9658422708003673,28420.05,2
3,16,5,0,242.71,0,9715.63,28928.28,2,72.24,39.865536908620896,2.977192709818116,38643.909999999996,2
3,16,6,3,222.86,1,6918.25,18129.18,2,74.13,30.9043598677745,2.620107670629042,25047.43,2
3,16,7,1,243.28,0,10597.84,28430.05,0,72.21,43.3839855903062,2.6823737314649527,39027.89,2
3,16,8,2,398.12,0,16292.03,42561.16,2,91.55,40.81987873321307,2.6122311196873755,58853.19,1
3,16,9,3,170.59,1,5613.51,15671.15,2,71.35,32.71466868698642,2.7911874767343896,21284.66,2
3,16,10,1,308.63,1,11533.08,32171.93,2,90.28,37.24794109097956,2.7892931209077796,43705.01,1
3,16,11,3,483.05,1,16567.54,43762.71,2,89.88,34.226918706745174,2.641313597939227,60330.25,1
3,16,12,1,275.21,0,11450.81,31485.1,2,91.67,41.45689873646863,2.749355778693499,42935.909999999996,2
2,17,1,2,39.85,0,701.49,2021.9,0,86.51,17.17233782129743,2.8781904368745463,2723.3900000000003,0
2,17,2,2,32.2,0,404.9,1022.19,2,79.34,12.195783132530119,2.518329637841833,1427.0900000000001,0
2,17,3,1,70.82,0,1307.9,3875.36,1,85.71,18.21080478975216,2.96077622431049,5183.26,0
2,17,4,0,113.52,0,1856.06,5269.68,2,91.81,16.207300034928398,2.837646602694582,7125.74,0
2,17,5,1,63.25,0,675.8,2004.4,0,83.96,10.51828793774319,2.961583924349882,2680.2,0
2,17,6,3,80.21,0,1173.95,3451.06,1,74.14,14.45573205270287,2.937197327545853,4625.01,0
2,17,7,0,34.56,0,504.65,1410.81,2,79.34,14.19150731158605,2.79009196084248,1915.46,0
2,17,8,1,150.1,0,2780.98,7093.56,2,91.9,18.404897418927863,2.549824225911042,9874.54,2
2,17,9,0,74.44,0,1260.63,3532.99,0,76.64,16.710365853658537,2.8003376584260042,4793.62,0
2,17,10,0,73.51,0,1332.75,3409.08,2,70.88,17.886860824050462,2.556011246485473,4741.83,0
2,17,11,1,171.31,0,2140.45,6324.12,0,71.5,12.422088097034413,2.9531952648906117,8464.57,2
2,17,12,1,106.5,0,1548.12,4356.4,0,71.23,14.401116279069766,2.812177236108242,5904.5199999999995,0
0,18,1,2,188.94,0,5410.08,14352.13,0,92.08,28.483099926292514,2.652359602888887,19762.21,2
0,18,2,2,59.55,0,1727.47,4456.51,0,85.29,28.52964492155244,2.578297569526807,6183.9800000000005,0
0,18,3,0,50.74,0,1100.26,3284.57,0,84.38,21.26517201391573,2.9825563445507877,4384.83,0
0,18,4,3,124.04,0,3072.12,8189.81,0,84.88,24.56909788867562,2.6649821679595984,11261.93,2
0,18,5,1,57.02,1,1614.61,4703.31,2,88.63,27.828507411237503,2.9111666800774945,6317.92,0
0,18,6,3,126.52,0,3040.42,8794.4,0,78.24,23.842691342534504,2.891544081383038,11834.82,2
0,18,7,0,101.03,1,2871.67,8264.78,1,91.55,28.145349407037145,2.877037738410608,11136.45,0
0,18,8,1,94.5,0,2724.78,7330.98,2,73.97,28.5317277486911,2.689498051933758,10055.76,0
0,18,9,1,148.66,1,3120.76,8682.98,2,78.35,20.852331952425498,2.7814373942904,11803.74,2
0,18,10,1,170.89,0,4612.21,13811.49,2,73.89,26.832334632613883,2.993900125942673,18423.7,2
0,18,11,3,177.26,0,4994.45,14632.07,0,83.91,28.017783013575677,2.929079462310703,19626.52,2
0,18,12,1,168.28,0,5044.11,12731.54,2,75.23,29.79743620037807,2.5235406165574195,17775.65,2
1,19,1,1,98.82,0,2550.32,6706.7,1,79.87,25.54918853937087,2.6287176833952617,9257.02,0
1,19,2,2,149.95,0,5059.64,13341.84,1,71.2,33.518648559125545,2.636393815801954,18401.48,2
1,19,3,1,141.31,0,3785.67,10017.88,1,92.56,26.601574028529267,2.645564572566397,13803.55,2
1,19,4,1,134.49,0,3679.5,9410.46,0,85.3,27.1569857554063,2.556842820268985,13089.96,2
1,19,5,2,25.14,1,802.83,2201.69,0,92.69,30.712700841622038,2.7389995397036686,3004.52,0
1,19,6,1,137.44,1,3459.59,8772.44,2,78.53,24.989815082346144,2.5349550221205055,12232.03,2
1,19,7,1,118.76,0,3617.84,9348.81,1,91.54,30.209084836339347,2.583372019763239,12966.65,0
1,19,8,3,146.7,1,3970.47,11420.54,0,81.52,26.881990521327015,2.875645541827082,15391.01,2
1,19,9,0,146.46,1,4226.71,12390.7,0,80.05,28.66343415163434,2.9308301657398452,16617.41,2
1,19,10,2,43.94,0,1250.62,3536.87,2,93.5,27.82866043613707,2.8258337194995287,4787.49,0
1,19,11,2,98.02,1,2541.75,6967.32,0,76.45,25.669056756210868,2.7400727558745452,9509.07,0
1,19,12,1,86.94,1,2602.59,6916.44,0,79.64,29.59506481692063,2.6565012156291887,9519.029999999999,0
2,20,1,1,79.49,0,997.81,2570.9,1,80.85,12.396695241644926,2.573963015989027,3568.71,0
2,20,2,2,91.03,0,1524.31,3820.28,1,92.16,16.563185917635554,2.5045925090637313,5344.59,0
2,20,3,1,84.7,0,1664.31,4952.87,2,83.55,19.420186697782963,2.974142952363224,6617.18,0
2,20,4,0,48.8,0,893.45,2411.85,2,82.01,17.940763052208837,2.6964615126614118,3305.3,0
2,20,5,0,151.59,0,2651.94,7070.14,0,94.39,17.379513729602202,2.665020694022481,9722.08,2
2,20,6,2,144.64,0,2150.85,5399.16,1,86.2,14.768264213128262,2.509078235007087,7550.01,2
2,20,7,2,149.94,0,1714.08,4692.99,0,76.71,11.356035510798993,2.736309676516547,6407.07,2
2,20,8,3,195.8,0,3199.53,9311.24,1,77.66,16.257774390243902,2.9092806503922786,12510.77,2
2,20,9,3,188.8,0,3031.95,8712.31,0,74.89,15.97444678609062,2.8725531248454477,11744.259999999998,2
2,20,10,2,59.24,0,597.95,1776.85,1,71.08,9.92612881806109,2.9666082310710404,2374.8,0
2,20,11,2,78.33,0,864.43,2489.25,1,75.51,10.896634312366066,2.8763158198814462,3353.68,0
2,20,12,3,177.1,0,2262.22,6635.75,1,72.19,12.701965188096574,2.9319951219943268,8897.97,2
1,21,1,0,65.09,0,1639.52,4268.91,0,70.9,24.807383870479647,2.602168824519055,5908.43,0
1,21,2,2,80.94,0,2794.15,7331.74,0,70.28,34.099951183793024,2.6230220202851364,10125.89,0
1,21,3,1,111.83,1,2931.78,8441.66,2,93.23,25.984046796064877,2.878381603802535,11373.44,0
